iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence
31,0.44096,91.2878,0.0134877,0,5.79167,0.161196,1.51936,0.277354,-0.0102604,2.58888,3.90184e-05,0.0112599,0.300204,16838.9,0.486878,0.242861,-0.1,0.02,26.8287,380928,0.0298637,0.00157771,0.0458712,0.0134952,-0.0223201,0.0912878,0.0130885,nan,nan,nan,nan,-0.00519454,-0.0144852,-0.00547014,nan,-0.037141,-0.000244604,-0.00288187,-0.118165,nan,-0.110266,0.12436,0.0423022,-0.193554,-0.00336691,0.173291
32,0.761149,87.8385,0.0101754,0,5.41667,0.164349,1.51681,0.282393,-0.00978311,2.58554,3.90184e-05,0.0114902,0.300117,16790.9,0.489182,0.242641,-0.1,0.02,27.5619,393216,0.0265075,0.00169972,0.0432119,0.0130064,-0.0215887,0.0878385,0.0125446,nan,nan,nan,nan,-0.00518589,-0.0141599,-0.00545756,nan,-0.035779,-0.000646154,-0.00287773,-0.109719,nan,-0.100754,0.11709,0.0419077,-0.183138,-0.00346154,0.177019
33,0.802019,87.9182,0.0147044,0,4.58333,0.162913,1.47452,0.286522,-0.00919259,2.58221,3.90184e-05,0.0124331,0.300044,16806.2,0.488154,0.243006,-0.1,0.02,28.2945,405504,0.0297872,0.00172004,0.0443073,0.0131128,-0.0215361,0.0879182,0.0122564,nan,nan,nan,nan,-0.00507926,-0.0133617,-0.00544096,nan,-0.0357431,-0.000172727,-0.00301005,-0.108991,nan,-0.0984273,0.119162,0.0407273,-0.184,-0.00358182,0.170455
34,1.08959,103.895,0.0109929,0,4.375,0.170197,1.50435,0.285308,-0.00924906,2.57947,3.90184e-05,0.0120885,0.299977,16971.7,0.479794,0.244235,-0.1,0.02,29.0199,417792,0.0339327,0.00201262,0.0535797,0.0156408,-0.0254362,0.103895,0.0144486,nan,nan,nan,nan,-0.00576191,-0.0167658,-0.00638793,nan,-0.0422425,-0.000238095,-0.00339877,-0.127793,nan,-0.1228,0.139437,0.0480762,-0.217829,-0.0044381,0.216548
35,1.12536,102.071,0.0107472,0,4.125,0.168255,1.47721,0.288801,-0.010548,2.57734,3.90184e-05,0.0171987,0.299946,16812.3,0.485325,0.245568,-0.1,0.02,29.7523,430080,0.0302196,0.00163426,0.0525508,0.015217,-0.0250139,0.102071,0.014602,nan,nan,nan,nan,-0.00582491,-0.0161622,-0.00630049,nan,-0.0416522,-0.000222222,-0.00329266,-0.12398,nan,-0.121,0.13723,0.0502222,-0.213818,-0.00410101,0.213889
36,1.05943,101.51,0.0142933,0,4.08333,0.168586,1.47308,0.303495,-0.0101908,2.57624,3.90184e-05,0.0147948,0.299908,16844.8,0.482887,0.246598,-0.1,0.02,30.4831,442368,0.027775,0.00181314,0.053164,0.0151032,-0.0249928,0.10151,0.0142286,nan,nan,nan,nan,-0.00583849,-0.0153938,-0.00628173,nan,-0.0413923,-0.000377551,-0.00333358,-0.123017,nan,-0.121561,0.136204,0.0473061,-0.213102,-0.00504082,0.216199
37,1.22141,96.9419,0.0147971,0,3.58333,0.167941,1.46426,0.304439,-0.00928472,2.57457,3.90184e-05,0.00756346,0.299869,16510.4,0.496404,0.247854,-0.1,0.02,31.2288,454656,0.0313087,0.00159411,0.0513824,0.0144073,-0.0238593,0.0969419,0.0133302,nan,nan,nan,nan,-0.00545982,-0.0144051,-0.00621663,nan,-0.0393414,-0.000162791,-0.00321029,-0.117541,nan,-0.118291,0.130815,0.0464186,-0.202605,-0.0047907,0.210756
38,1.86228,122.097,0.0154304,0,3.875,0.168314,1.49541,0.290578,-0.00894331,2.57321,3.90184e-05,0.012778,0.29984,16826,0.480041,0.250258,-0.1,0.02,31.9604,466944,0.0328406,0.00197883,0.0665691,0.0181907,-0.0300759,0.122097,0.0181656,nan,nan,nan,nan,-0.00642787,-0.01842,-0.00770594,nan,-0.0497566,-0.000301075,-0.00418933,-0.14961,nan,-0.143581,0.164727,0.0603871,-0.25157,-0.0052043,0.275
39,1.28001,120.934,0.0138656,0,3.79167,0.169493,1.487,0.316693,-0.00973117,2.57205,3.90184e-05,0.0120061,0.299806,16682.3,0.492721,0.24387,-0.1,0.02,32.6983,479232,0.0368606,0.00206511,0.0654022,0.0175254,-0.0301645,0.120934,0.0173473,nan,nan,nan,nan,-0.00640506,-0.0184102,-0.00763143,nan,-0.049369,-0.000263736,-0.00406245,-0.148801,nan,-0.144593,0.165979,0.0562198,-0.251824,-0.0052967,0.248489
40,1.43585,119.816,0.0159449,0,3.16667,0.164602,1.4737,0.291218,-0.00985437,2.57084,3.90184e-05,0.00998455,0.299782,17186.8,0.471492,0.243475,-0.1,0.02,33.4147,491520,0.0350171,0.0019305,0.064989,0.0169687,-0.0297523,0.119816,0.0167566,nan,nan,nan,nan,-0.00630761,-0.0187443,-0.00722172,nan,-0.0488076,-0.000302632,-0.00406378,-0.140306,nan,-0.142026,0.162242,0.0564211,-0.245211,-0.005,0.245395
