iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
25,-0.380618,39.0983,-0.00963069,0,12.2917,0.297972,1.46173,0.0260949,-0.0126283,24.4713,8.77915e-05,0.00850922,0.941609,9820.91,0.860551,0.390657,-0.1,0.02,33.6141,307200,0.04101,0.0164229,0.0370887,0.0236807,-0.12438,nan,0.00778983,-0.000282584,-0.00179737,-0.000102258,-0.00230169,-0.000816853,-0.0153421,-1.61288e-07
26,-0.374023,39.7222,-0.00962591,0,14.25,0.310587,1.46613,0.0220341,-0.0129636,24.4449,8.77915e-05,0.0131299,0.940231,9028.78,0.998606,0.362376,-0.1,0.02,34.9767,319488,0.0408365,0.0171529,0.0376208,0.0239974,-0.125979,nan,0.00851754,-0.000296678,-0.00181645,-0.000105524,-0.00216667,-0.000905786,-0.0155564,-1.63809e-07
27,-0.383366,38.3036,-0.00972103,0,12.625,0.314689,1.48419,0.024682,-0.0131606,24.4183,8.77915e-05,0.0132085,0.938809,9804.95,0.915846,0.337399,-0.1,0.02,36.2319,331776,0.0386143,0.01596,0.0354567,0.0233187,-0.121062,nan,0.00848515,-0.000296468,-0.00176091,-0.000104205,-0.00172607,-0.000853447,-0.0152,-1.6285e-07
28,-0.363806,39.0742,-0.00921888,0,12.9167,0.305846,1.45169,0.0260123,-0.0131381,24.3908,8.77915e-05,0.0113605,0.937384,10233.9,0.848269,0.352444,-0.1,0.02,37.4342,344064,0.0400539,0.0165113,0.0371931,0.0238917,-0.124257,nan,0.00876774,-0.000301866,-0.00179372,-0.000104447,-0.00195484,-0.000809373,-0.0153865,-1.67321e-07
29,-0.349398,39.8006,-0.00874982,0,13.1667,0.306957,1.4705,0.0251918,-0.0127783,24.3629,8.77915e-05,0.0162139,0.935866,8667.79,1.03619,0.381477,-0.1,0.02,38.8537,356352,0.0403106,0.0169825,0.0377773,0.0242785,-0.126359,nan,0.00948418,-0.000304876,-0.00175915,-0.000104797,-0.00169304,-0.000847992,-0.0152344,-1.63958e-07
30,-0.30578,38.5517,-0.00774043,0,13.2917,0.301245,1.45349,0.0265272,-0.0125052,24.3337,8.77915e-05,0.0159575,0.934387,9416.42,0.952788,0.352167,-0.1,0.02,40.1602,368640,0.0409647,0.0163437,0.0356809,0.0231764,-0.121468,nan,0.00975235,-0.00032293,-0.00165519,-0.000101669,-0.00167712,-0.00077013,-0.0152116,-1.65936e-07
31,-0.315241,39.3312,-0.00721614,0,13.2083,0.307679,1.45514,0.0237393,-0.0139585,24.3065,5.85277e-05,0.0206008,0.933064,9836.33,0.859861,0.389385,-0.1,0.02,41.4109,380928,0.0408632,0.0168189,0.0370039,0.0241088,-0.124449,nan,0.00952997,-0.000338941,-0.00168576,-0.000103806,-0.00168139,-0.000770946,-0.0150569,-1.66303e-07
32,-0.264465,39.6159,-0.00583608,0,12.5833,0.299527,1.43962,0.0254223,-0.00970485,24.2852,5.85277e-05,0.0120762,0.932141,8678.89,1.05982,0.356028,-0.1,0.02,42.8282,393216,0.0410497,0.0170191,0.03714,0.0242109,-0.123523,nan,0.0109868,-0.000364531,-0.00164685,-0.000102393,-0.00169536,-0.000762347,-0.0155353,-1.74687e-07
33,-0.259333,40.4007,-0.00647815,0,12.7917,0.299125,1.45584,0.0256726,-0.010296,24.2667,5.85277e-05,0.012203,0.931171,7395.69,1.25894,0.402567,-0.1,0.02,44.4915,405504,0.0427081,0.017525,0.0386504,0.0249889,-0.126953,nan,0.0099772,-0.000339129,-0.0017717,-0.000105507,-0.00129316,-0.000754233,-0.0155996,-1.69478e-07
34,-0.235014,39.5201,-0.00506708,0,12.4167,0.294976,1.41648,0.0265839,-0.0109168,24.2481,5.85277e-05,0.00845137,0.930229,10033.8,0.843603,0.381054,-0.1,0.02,45.718,417792,0.0411548,0.0170361,0.0370809,0.0248207,-0.123052,nan,0.0107315,-0.000408642,-0.00168792,-0.000100212,-0.00138926,-0.000703588,-0.0152333,-1.67323e-07
