iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
23,-0.652672,59.5,-0.00852447,0,8.16667,0.155753,1.32008,0.0149761,-0.0133926,2.24562,8.77915e-05,0.0206705,0.291605,14006.1,0.572825,0.304506,-0.1,0.02,30.8846,282624,0.0355741,0.00473878,0.0294832,0.00759465,-0.0136443,nan,0.00624439,nan,nan,nan,nan,-0.00304643,-0.00912939,-0.00301672,0.00477551,-0.023695,-0.000418367,-0.000719622,-0.0673743,nan
24,-0.519276,55.1833,-0.00683577,0,7.5,0.149461,1.30909,0.0173895,-0.0148137,2.23112,8.77915e-05,0.0185316,0.291307,14915.3,0.534376,0.289478,-0.1,0.02,31.7097,294912,0.0373126,0.00438938,0.0281678,0.00710143,-0.0125709,nan,0.00514444,nan,nan,nan,nan,-0.0026772,-0.0082449,-0.00265953,0.00445,-0.0218986,-0.000388889,-0.00051004,-0.0635795,nan
25,-0.587805,67.2288,-0.0069015,0,6.375,0.152855,1.29655,0.0179312,-0.0127931,2.21859,5.85277e-05,0.0236024,0.291001,13916.8,0.553771,0.32919,-0.1,0.02,32.5939,307200,0.0422907,0.00586477,0.0353397,0.00826675,-0.0153612,nan,0.00696471,nan,nan,nan,nan,-0.00311011,-0.0100957,-0.00333606,0.00539869,-0.0266386,-0.00045098,-0.000680601,-0.0738423,nan
26,-0.622084,66.2733,-0.00675649,0,6.70833,0.155504,1.29326,0.0173961,-0.0118225,2.20769,5.85277e-05,0.013235,0.290785,12953.1,0.608189,0.340465,-0.1,0.02,33.5439,319488,0.0392404,0.005912,0.0341252,0.00835978,-0.0149997,nan,0.00673478,nan,nan,nan,nan,-0.00317214,-0.0101948,-0.00319718,0.00559006,-0.0262101,-0.000273292,-0.000690981,-0.0723282,nan
27,-0.573741,69.7895,-0.00606453,0,6.33333,0.152388,1.29436,0.0154241,-0.0105446,2.19818,5.85277e-05,0.0117558,0.290536,13305.1,0.575541,0.348015,-0.1,0.02,34.4687,331776,0.0436398,0.00596995,0.0365963,0.00904149,-0.0160011,nan,0.00681513,nan,nan,nan,nan,-0.00324146,-0.0103694,-0.00351332,0.00603947,-0.0276669,-0.000414474,-0.000718975,-0.0748636,nan
28,-0.501076,72.3665,-0.00502588,0,6.70833,0.146889,1.28788,0.0160198,-0.0131907,2.18861,5.85277e-05,0.0134494,0.290348,12576.3,0.617015,0.360062,-0.1,0.02,35.4473,344064,0.0489796,0.00619592,0.0380195,0.00921071,-0.0165831,nan,0.00764596,nan,nan,nan,nan,-0.00340924,-0.010734,-0.00354313,0.00608696,-0.0287139,-0.000236025,-0.000758238,-0.0772148,nan
29,-0.57473,60.2769,-0.00310935,0,5.41667,0.144401,1.2696,0.0172162,-0.0115883,2.18129,5.85277e-05,0.0157115,0.290166,15071.9,0.544412,0.270881,-0.1,0.02,36.2639,356352,0.0357612,0.00519183,0.0310183,0.00769625,-0.0138103,nan,0.00607769,nan,nan,nan,nan,-0.00296318,-0.00849935,-0.00291733,0.00475385,-0.0239081,-0.000461538,-0.000611749,-0.0660641,nan
30,-0.467664,68.8169,-0.00418954,0,5.91667,0.145092,1.27236,0.017325,-0.0104549,2.17369,5.85277e-05,0.0148883,0.289991,13692.9,0.571696,0.325702,-0.1,0.02,37.1629,368640,0.0460758,0.00626129,0.0367228,0.00874326,-0.0156983,nan,0.00689577,nan,nan,nan,nan,-0.00314208,-0.00950975,-0.00335211,0.00583803,-0.0273012,-0.000253521,-0.00066614,-0.0739969,nan
31,-0.383909,74.2748,-0.00423591,0,5.45833,0.148768,1.2466,0.0173276,-0.0121823,2.16594,5.85277e-05,0.0139141,0.289787,13083.1,0.578607,0.360623,-0.1,0.02,38.1034,380928,0.0539495,0.00641278,0.0401821,0.00942791,-0.0169405,nan,0.00726947,nan,nan,nan,nan,-0.00321888,-0.0111344,-0.00372703,0.00673282,-0.029368,-0.000274809,-0.000683386,-0.0778231,nan
32,-0.464173,90.9756,-0.0030904,0,5.125,0.147567,1.24925,0.0173388,-0.0110475,2.15807,5.85277e-05,0.0120358,0.289631,13880.1,0.577419,0.30788,-0.1,0.02,38.9901,393216,0.0612335,0.00873381,0.0497262,0.0112881,-0.0207777,nan,0.00994309,nan,nan,nan,nan,-0.0038954,-0.0142292,-0.00445179,0.0082439,-0.0360377,-0.000349593,-0.000834767,-0.0918011,nan
