iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
35,4.52542,68.5677,0.066462,0,6.45833,0.203025,0.689516,0.119932,-0.0123515,13.1158,3.90184e-05,0.015822,0.501366,9616.07,0.967781,0.31008,-0.1612,0.03224,50.525,430080,0.0679557,0.051853,0.0638507,0.0271963,-0.100721,0.137135,-0.0203613,-2.71001e-05,-0.00061058
36,4.94052,74.2643,0.0660697,0,5.83333,0.203666,0.679914,0.107043,-0.0109499,13.1086,3.90184e-05,0.0119432,0.501184,9165.14,0.95687,0.383863,-0.163,0.0326,51.8671,442368,0.0762908,0.0555597,0.0692417,0.0291121,-0.110491,0.148529,-0.0205571,-3.13353e-05,-0.000627322
37,5.54951,82.5286,0.066607,0,5.83333,0.196592,0.665442,0.108933,-0.00992348,13.1022,3.90184e-05,0.0112661,0.501002,9399.33,0.927677,0.37965,-0.1648,0.03296,53.1759,454656,0.0894136,0.0631014,0.0766712,0.0320226,-0.124664,0.165057,-0.02345,-2.98094e-05,-0.000647055
38,5.73436,84.5748,0.0658062,0,5.29167,0.1951,0.680839,0.109062,-0.0123186,13.0961,2.60123e-05,0.0211448,0.500855,9936.2,0.894191,0.342499,-0.1666,0.03332,54.4144,466944,0.0928607,0.0652223,0.0791145,0.0326937,-0.129009,0.16915,-0.0226299,-3.05696e-05,-0.000653607
39,6.02913,92.3077,0.0656071,0,4.875,0.194543,0.682572,0.124004,-0.00866136,13.0915,2.60123e-05,0.0147829,0.500729,9409.55,0.941334,0.364574,-0.1684,0.03368,55.7218,479232,0.0954526,0.0698172,0.0863842,0.0350125,-0.142418,0.184615,-0.0266923,-3.43241e-05,-0.000681208
40,5.77184,90.7222,0.0660389,0,3.75,0.184983,0.678574,0.114294,-0.00812318,13.087,2.60123e-05,0.00943441,0.500621,9201.92,0.954488,0.380885,-0.1702,0.03404,57.0586,491520,0.08781,0.0677024,0.0843731,0.0339031,-0.141463,0.181444,-0.0244556,-3.48886e-05,-0.000687322
41,6.46637,98.7297,0.0644194,0,3.08333,0.185586,0.697411,0.148605,-0.00762826,13.0834,2.60123e-05,0.0134373,0.500527,10055.6,0.902538,0.319468,-0.172,0.0344,58.2826,503808,0.107839,0.0741021,0.0918432,0.0361307,-0.155671,0.197459,-0.0276216,-3.82626e-05,-0.000725051
42,6.65344,102.624,0.0647951,0,3.875,0.187295,0.670354,0.142099,-0.00627526,13.0799,2.60123e-05,0.00898867,0.500424,8742.95,1.00931,0.396165,-0.1738,0.03476,59.6895,516096,0.108253,0.0795074,0.0957602,0.0381868,-0.163333,0.205247,-0.0301505,-4.35287e-05,-0.000755149
43,7.64558,122.466,0.0642808,0,2.41667,0.183934,0.690836,0.148056,-0.00614125,13.0764,2.60123e-05,0.00654268,0.500341,8644.08,1.01319,0.408359,-0.1756,0.03512,61.1129,528384,0.120183,0.0895143,0.115142,0.0440835,-0.195807,0.244931,-0.0348793,-4.93189e-05,-0.000839351
44,7.67513,127,0.0641587,0,1.625,0.183704,0.695423,0.163708,-0.00705733,13.0739,2.60123e-05,0.00541701,0.500287,8412.17,1.04185,0.418888,-0.1774,0.03548,62.5752,540672,0.12556,0.0860319,0.120731,0.0450539,-0.205125,0.254,-0.0415128,-6.73023e-05,-0.0009145
45,8.3434,138.385,0.0637478,0,1.625,0.185794,0.686532,0.158477,-0.00693669,13.0723,2.60123e-05,0.00530538,0.500248,8956.37,0.959654,0.41233,-0.1792,0.03584,63.9485,552960,0.129689,0.0972514,0.13195,0.0485107,-0.22238,0.276769,-0.0434872,-8.65089e-05,-0.00104698
