iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
44,3.51428,59.233,0.0595208,0,4.29167,0.305988,1.34236,0.172545,-0.0103138,24.3594,5.85277e-05,0.0108358,0.936303,11299.5,0.753439,0.334039,-0.1,0.02,48.3074,540672,0.0518053,0.0229551,0.0393578,0.0120203,-0.188364,nan,0.0474175,0.0303204,0.185323,-0.00221449,-0.00111046,-9.12737e-05,-0.00239806,-0.00419908,-0.0151075,-2.3249e-07
45,3.88174,67.6705,0.0625579,0,3.66667,0.28162,1.30831,0.17507,-0.0106053,24.3528,5.85277e-05,0.0117408,0.936001,10747.5,0.7858,0.357537,-0.1,0.02,49.4522,552960,0.0625635,0.0287698,0.0384677,0.0111526,-0.213763,nan,0.0502841,0.029875,0.214127,-0.00230812,-0.0010896,-9.8626e-05,-0.00205682,-0.00566263,-0.0161732,-2.39233e-07
46,3.87921,66.0133,0.0625423,0,3.125,0.280656,1.27435,0.189401,-0.00974557,24.3476,5.85277e-05,0.00531257,0.935757,10879.2,0.762644,0.366853,-0.1,0.02,50.5833,565248,0.0604565,0.0289816,0.039598,0.0119412,-0.20611,nan,0.04908,0.0313867,0.203985,-0.00208818,-0.001185,-9.32157e-05,-0.00192,-0.00468643,-0.015385,-2.29483e-07
47,3.88424,65.4151,0.065437,0,2.20833,0.270473,1.22067,0.201694,-0.00941996,24.3431,5.85277e-05,0.0101912,0.935537,11955.9,0.688055,0.339718,-0.1,0.02,51.6133,577536,0.0590921,0.0298432,0.0400252,0.0119005,-0.205022,nan,0.0490755,0.031566,0.203062,-0.002272,-0.0012147,-9.52481e-05,-0.00143396,-0.0050954,-0.0152195,-2.32044e-07
48,4.4675,83.2778,0.0670298,0,2.25,0.248417,1.21516,0.187297,-0.010952,24.3387,5.85277e-05,0.0102176,0.935275,13337,0.587492,0.333852,-0.1,0.02,52.536,589824,0.0876562,0.0408258,0.0398838,0.0106935,-0.26122,nan,0.0504444,0.031963,0.253837,-0.00270328,-0.0010794,-9.3351e-05,-0.00288889,-0.00801455,-0.0159292,-2.38363e-07
49,4.6233,74.4667,0.0688741,0,1.25,0.245288,1.159,0.181672,-0.0112074,24.3339,5.85277e-05,0.0123545,0.935082,11057,0.711644,0.399691,-0.1,0.02,53.6488,602112,0.0746844,0.0322308,0.0378982,0.0113345,-0.232576,nan,0.0573,0.032,0.246311,-0.00249736,-0.00128671,-8.86568e-05,-0.00193333,-0.00648126,-0.0157297,-2.35495e-07
50,4.59711,88.1724,0.0698384,0,1.20833,0.237977,1.14451,0.159162,-0.00895146,24.3305,5.85277e-05,0.0105738,0.934868,11724.6,0.677632,0.370418,-0.1,0.02,54.6984,614400,0.0887998,0.0415993,0.0361557,0.0100301,-0.274095,nan,0.0545172,0.042931,0.264931,-0.00278742,-0.00207607,-0.00012162,-0.00386207,-0.00916016,-0.0170056,-2.36665e-07
51,3.87927,88,0.0712721,0,0.5,0.219007,1.09606,0.148355,-0.00811967,24.3258,8.77915e-05,0.00474744,0.934631,11706.7,0.710745,0.338909,-0.1,0.02,55.7495,626688,0.0738272,0.0417275,0.0370307,0.0119744,-0.283169,nan,0.05975,0.0429167,0.243996,-0.00332572,-0.00182269,-0.000129441,-0.00225,-0.00958888,-0.0169732,-2.32054e-07
52,3.42562,66.7778,0.0721178,0,0.375,0.214914,1.10412,0.131575,-0.0104608,24.3205,8.77915e-05,0.0113842,0.934316,12500.4,0.6207,0.362305,-0.1,0.02,56.7338,638976,0.0682009,0.0294733,0.0406853,0.00973593,-0.208952,nan,0.0493333,0.0367778,0.174803,-0.00268067,-0.00212445,-0.000134385,-0.00188889,-0.00510046,-0.0168468,-2.19863e-07
53,3.51427,63.4,0.0735977,0,0.208333,0.203077,1.0778,0.132173,-0.0104307,24.3151,8.77915e-05,0.0118397,0.934064,10887.5,0.753718,0.374913,-0.1,0.02,57.8644,651264,0.0566572,0.0217639,0.0409305,0.00889136,-0.193423,nan,0.0522,0.0354,0.178239,-0.0020467,-0.00106115,-0.000143559,-0.0012,-0.00580661,-0.0146874,-2.10112e-07
