iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
35,21.533,335.778,0.102158,0,0.375,0.0796643,0.260494,0.729647,-0.00987903,-15.872,1e-05,0.019779,0.10019,10494.5,0.882997,0.287904,-1,0.2,40.2854,430080,0.586148,0.412835,0.647165,0.189062,-0.758559
36,15.9921,252.077,0.103722,0,0.541667,0.0793619,0.267007,0.669072,-0.011364,-15.871,1e-05,0.0193267,0.100196,11192.6,0.813333,0.284535,-1,0.2,41.3849,442368,0.426538,0.306166,0.485523,0.145841,-0.564466
37,22.8396,348.2,0.102569,0,0.208333,0.0780701,0.267547,0.690303,-0.0111453,-15.87,1e-05,0.0214438,0.100202,13350.9,0.64801,0.272379,-1,0.2,42.3066,454656,0.601304,0.398656,0.678171,0.184102,-0.720255
38,26.8193,411.846,0.102739,0,0.541667,0.0775464,0.263093,0.670383,-0.0104509,-15.8685,1e-05,0.0213537,0.100213,13073.9,0.667919,0.271966,-1,0.2,43.2477,466944,0.726521,0.482539,0.798765,0.231772,-0.898634
39,19.8079,342.429,0.103519,0,0.291667,0.0768612,0.2502,0.674774,-0.00983662,-15.8666,1e-05,0.0215372,0.100222,13044.5,0.671161,0.270847,-1,0.2,44.1909,479232,0.581799,0.367131,0.663221,0.17473,-0.796486
40,33.1247,493.667,0.105252,0,0.25,0.0764513,0.258595,0.66686,-0.0102514,-15.8652,1e-05,0.0200387,0.10023,9423.21,0.883624,0.420391,-1,0.2,45.4961,491520,0.854719,0.613733,0.953849,0.265006,-1.03107
41,24.6054,388.4,0.103766,0,0.416667,0.0751817,0.254292,0.677274,-0.00894195,-15.8636,1e-05,0.0170544,0.100239,8709.29,1.0141,0.396807,-1,0.2,46.9089,503808,0.684694,0.456533,0.751647,0.209691,-0.872297
42,112.175,980.342,0.098843,7.75,0.291667,0.0880967,0.300386,0.773266,-0.0107543,-15.8618,1e-05,0.0138443,0.100249,7205.97,1.27417,0.431086,-1,0.2,48.6158,516096,1.9049,1.72269,1.9185,0.79612,-0.733445
43,23.9936,335.417,0.0933847,0,0.5,0.112304,0.364412,0.803477,-0.0115836,-15.8604,1e-05,0.020304,0.100255,9106.2,0.927303,0.422108,-1,0.2,49.9666,528384,0.590891,0.424466,0.646248,0.197298,-0.659224
44,52.2477,520.286,0.0905362,0.625,0.833333,0.103904,0.385606,0.893017,-0.0129361,-15.8593,1e-05,0.0178338,0.100261,8318.85,1.08586,0.391271,-1,0.2,51.4451,540672,0.988253,0.840241,1.01411,0.393515,-0.623737
45,40.9092,450.826,0.0882908,0.291667,0.666667,0.105987,0.394295,0.939648,-0.0104105,-15.8581,1e-05,0.0223289,0.100269,10051,0.843947,0.378616,-1,0.2,52.6692,552960,0.836176,0.690356,0.877313,0.316913,-0.675299
46,39.1535,393.724,0.0829121,0.375,0.833333,0.111653,0.471607,1.40249,-0.0102944,-15.8566,1e-05,0.0270936,0.100277,8718.27,0.977658,0.431795,-1,0.2,54.0801,565248,0.746688,0.644245,0.766145,0.301763,-0.501167
47,37.5496,413.814,0.0865955,0.375,1.41667,0.104504,0.443061,1.10767,-0.010713,-15.8554,1e-05,0.0137406,0.100282,8549.73,1.08206,0.355174,-1,0.2,55.5187,577536,0.767853,0.644132,0.80358,0.309286,-0.647372
