iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/joint_vel,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence,Episode_Reward/termination
1021,-31.6385,489.75,-0.0416042,0,0.166667,0.146318,1.24329,0.315017,-0.00970395,2.5737,5.92593e-05,0.0122149,0.299816,13661.4,0.565097,0.334372,-0.1,0.15,17.2334,1.2546e+07,0.261577,0.0135922,0.305198,0.0121528,-0.128303,0.48975,-0.0794,nan,nan,nan,nan,-0.0209715,-0.0850569,-0.0321484,nan,-0.177561,-0.00025,-0.111539,-0.501756,nan,-0.594847,-0.672,0.674513,0.218,-0.953,-0.0155,0.315625,-0.5
1022,-28.9325,426.4,-0.0412612,0,0.208333,0.147001,1.21025,0.382158,-0.0109752,2.56948,3.95062e-05,0.0214637,0.299698,13279.9,0.571574,0.353731,-0.1,0.15,18.1603,1.25583e+07,0.158995,0.0126372,0.254273,0.0133756,-0.112003,0.4264,-0.06992,nan,nan,nan,nan,-0.0199702,-0.0879514,-0.0262337,nan,-0.154616,-0.0004,-0.099507,-0.408634,nan,-0.529045,-0.567,0.588374,0.2024,-0.8352,-0.0176,0.325,-0.5
1023,-34.6192,524.571,-0.0445813,0,0.291667,0.144409,1.21157,0.294842,-0.00772311,2.56626,3.95062e-05,0.00851363,0.299646,13576.5,0.572221,0.332872,-0.1,0.15,19.0669,1.25706e+07,0.203225,0.0171457,0.323418,0.0163477,-0.137415,0.524571,-0.0882,nan,nan,nan,nan,-0.0215828,-0.10011,-0.0338557,nan,-0.189506,0,-0.120895,-0.508861,nan,-0.646374,-0.693429,0.726917,0.248571,-1.02057,-0.0214286,0.291071,-0.5
1024,-33.2191,562.25,-0.0387467,0,0.166667,0.141416,1.23854,0.271843,-0.00949696,2.56397,3.95062e-05,0.015637,0.299591,13111.1,0.580066,0.357154,-0.1,0.15,20.0057,1.25829e+07,0.225971,0.017246,0.351135,0.0203936,-0.147332,0.56225,-0.12465,nan,nan,nan,nan,-0.0259074,-0.109738,-0.0410293,nan,-0.202242,-0.002,-0.128906,-0.542545,nan,-0.674479,-0.729,0.789754,0.306,-1.102,-0.032,0.428125,-0.5
1025,-34.3611,589,-0.0368258,0,0.0833333,0.144139,1.20259,0.188658,-0.010382,2.56181,3.95062e-05,0.00868714,0.299533,13397.2,0.522909,0.394299,-0.1,0.15,20.9242,1.25952e+07,0.354236,0.0195834,0.357397,0.0144412,-0.151873,0.589,-0.1063,nan,nan,nan,nan,-0.0324595,-0.1688,-0.045082,nan,-0.215517,-0.002,-0.133112,-0.64247,nan,-0.741276,-0.774,0.839677,0.292,-1.168,-0.016,0.5125,-0.5
1026,-34.3835,543,-0.0402256,0,0.208333,0.145852,1.22479,0.257555,-0.00895879,2.5596,5.92593e-05,0.00352139,0.299488,12780,0.579683,0.381822,-0.1,0.15,21.887,1.26075e+07,0.17737,0.0172517,0.32941,0.0195298,-0.141677,0.543,-0.1108,nan,nan,nan,nan,-0.0232628,-0.100389,-0.0379556,nan,-0.194874,0,-0.126046,-0.50436,nan,-0.653164,-0.6846,0.759493,0.2848,-1.0568,-0.0236,0.3075,-0.5
1027,-38.259,561.25,-0.0383018,0,0.166667,0.14751,1.23124,0.236882,-0.0120497,2.55725,5.92593e-05,0.0113961,0.299412,13929.1,0.556136,0.326048,-0.1,0.15,22.7706,1.26198e+07,0.179586,0.0126529,0.31881,0.0133973,-0.148504,0.56125,-0.07945,nan,nan,nan,nan,-0.0265982,-0.1337,-0.03349,nan,-0.204884,-0.0005,-0.127692,-0.555433,nan,-0.69943,-0.76275,0.75366,0.253,-1.102,-0.0215,0.390625,-0.5
1028,-31.0931,543.25,-0.0348715,0,0.166667,0.144629,1.21218,0.382137,-0.012209,2.55448,5.92593e-05,0.0133349,0.299368,12680.2,0.56147,0.407598,-0.1,0.15,23.7411,1.26321e+07,0.184445,0.0142551,0.321896,0.0202475,-0.144097,0.54325,-0.0992,nan,nan,nan,nan,-0.0240351,-0.117714,-0.0376249,nan,-0.196586,0,-0.122593,-0.567413,nan,-0.668247,-0.66975,0.768763,0.288,-1.058,-0.0215,0.53125,-0.5
1029,-36.0133,654.875,-0.0396437,0,0.333333,0.145261,1.20554,0.214686,-0.0121189,2.55328,5.92593e-05,0.0136528,0.299338,12892.4,0.587012,0.366107,-0.1,0.15,24.6958,1.26444e+07,0.298229,0.0208679,0.395308,0.0209648,-0.16999,0.654875,-0.108875,nan,nan,nan,nan,-0.0275149,-0.118712,-0.041504,nan,-0.235983,0,-0.150973,-0.618259,nan,-0.797212,-0.843375,0.924241,0.3275,-1.28,-0.02525,0.475,-0.5
1030,-43.0035,705.5,-0.0344948,0,0.0833333,0.147978,1.21014,0.173336,-0.012055,2.55041,3.95062e-05,0.0211148,0.299204,13392.7,0.55148,0.366032,-0.1,0.15,25.6151,1.26566e+07,0.275854,0.0221879,0.419762,0.0268995,-0.183288,0.7055,-0.13,nan,nan,nan,nan,-0.0327889,-0.15645,-0.0464036,nan,-0.251541,-0.0025,-0.166979,-0.702829,nan,-0.879687,-0.951,0.974088,0.378,-1.418,-0.031,0.5,-0.5
