iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/trot,Episode_Reward/joint_torque
23,0.146919,38.8133,0.00432333,0,12.5,0.3082,1.5036,0.0402318,-0.0141639,24.5567,8.77915e-05,0.0169655,0.946121,12715.5,0.71607,0.250311,-0.1,0.02,28.2196,282624,0.0390574,0.0160943,0.0360857,0.0211867,-0.124594,nan,0.01411,0.02,0.0060805,-0.000415989,-0.00149749,-9.64283e-05,-0.00237333,-0.000925678,-0.0153656,-1.72189e-07,nan,nan,nan,nan
24,0.126941,39.3172,0.00360651,0,12.875,0.309321,1.50371,0.0390286,-0.0114058,24.5319,8.77915e-05,0.00972419,0.944831,12508.5,0.726471,0.255897,-0.1,0.02,29.2033,294912,0.0395694,0.0161099,0.0352791,0.0213719,-0.126655,nan,0.0143301,0.0203916,0.00602409,-0.000469372,-0.00149609,-9.77423e-05,-0.00189968,-0.00083992,-0.0152715,-1.6958e-07,nan,nan,nan,nan
25,0.189273,39.8376,0.00556989,0,13.0833,0.308471,1.49591,0.0397321,-0.0127491,24.5078,8.77915e-05,0.0133865,0.943607,12693.4,0.709751,0.258312,-0.1,0.02,30.1729,307200,0.0397759,0.0164203,0.0369465,0.0221357,-0.128339,nan,0.0149809,0.021293,0.00658711,-0.000494074,-0.0015703,-0.000101277,-0.00184395,-0.000849237,-0.0154781,-1.72798e-07,nan,nan,nan,nan
26,0.176631,39.1474,0.00492709,0,13,0.305895,1.4966,0.0396452,-0.0132233,24.485,8.77915e-05,0.0130151,0.942452,10957,0.858189,0.26329,-0.1,0.02,31.2958,319488,0.0404856,0.0160445,0.0360712,0.0216326,-0.125291,nan,0.0136442,0.0199744,0.00606646,-0.000463087,-0.0014642,-9.36665e-05,-0.00180769,-0.000804742,-0.0151633,-1.70535e-07,nan,nan,nan,nan
27,0.206381,38.5106,0.00481838,0,13.7083,0.310109,1.50161,0.0395903,-0.0127145,24.4628,8.77915e-05,0.0122625,0.941258,12059.7,0.757394,0.261539,-0.1,0.02,32.3163,331776,0.0395593,0.0160763,0.0353851,0.0216494,-0.123637,nan,0.0143526,0.0200942,0.00642239,-0.000514881,-0.00147471,-9.8149e-05,-0.00165046,-0.00079486,-0.0150504,-1.7203e-07,nan,nan,nan,nan
28,0.23919,39.343,0.00718005,0,12.875,0.31189,1.51277,0.0386881,-0.0133187,24.4391,8.77915e-05,0.0107891,0.939951,12284.7,0.748514,0.251757,-0.1,0.02,33.3182,344064,0.0394075,0.0161873,0.0360704,0.0216257,-0.125761,nan,0.0158641,0.0207379,0.00692396,-0.000506372,-0.00140718,-9.40613e-05,-0.00135275,-0.000799873,-0.0149357,-1.72766e-07,nan,nan,nan,nan
29,0.315476,39.6986,0.00827831,0,11.75,0.30181,1.52431,0.0413216,-0.0128653,24.4136,8.77915e-05,0.0128562,0.938621,12507.5,0.717644,0.264806,-0.1,0.02,34.3019,356352,0.0401411,0.0164931,0.0368492,0.021857,-0.126376,nan,0.0171277,0.0215993,0.00735653,-0.000590127,-0.0014193,-9.74978e-05,-0.00119858,-0.000679122,-0.0152895,-1.77024e-07,nan,nan,nan,nan
30,0.270873,41.3206,0.00557803,0,13.125,0.318202,1.5477,0.0391703,-0.0135925,24.3885,8.77915e-05,0.0159911,0.937329,11752,0.782486,0.263126,-0.1,0.02,35.3488,368640,0.0419627,0.0172185,0.0385639,0.0230027,-0.132127,nan,0.0160476,0.0217302,0.00650407,-0.0005415,-0.00149806,-0.000102059,-0.00128889,-0.000735225,-0.0151926,-1.81086e-07,nan,nan,nan,nan
31,0.300138,40.3379,0.0101815,0,12.0833,0.293629,1.47133,0.0389667,-0.0123504,24.3643,8.77915e-05,0.00935503,0.936122,12662.3,0.717809,0.25263,-0.1,0.02,36.3208,380928,0.041232,0.0166333,0.0375224,0.0221919,-0.12865,nan,0.0166138,0.0215448,0.00715806,-0.000625321,-0.00151066,-0.000101871,-0.00105862,-0.000700841,-0.0152416,-1.8178e-07,nan,nan,nan,nan
32,0.334642,40.1926,0.00821264,0,12.3333,0.302172,1.49031,0.0404004,-0.0138354,24.3413,8.77915e-05,0.00981888,0.934919,12552.8,0.722293,0.256609,-0.1,0.02,37.3012,393216,0.0416637,0.0173055,0.0377273,0.0217577,-0.127705,nan,0.0170473,0.0211149,0.0071655,-0.000640588,-0.0014429,-9.43668e-05,-0.00111486,-0.000640583,-0.0154114,-1.82116e-07,nan,nan,nan,nan
