iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence
622,34.4137,514,0.0618234,0,0.0416667,0.143559,1.16287,0.237015,-0.00979834,4.36667,8.88889e-05,0.018173,0.348139,13438,0.545566,0.368858,-0.2,0.05,19.609,7.64314e+06,0.389799,0.0115699,0.420322,0.00706565,-0.314228,0.514,0.1331,nan,nan,nan,nan,-0.0207473,-0.0658812,-0.0152965,nan,-0.205598,0,-0.0217125,-0.356929,nan,0.00972068,0.054,-0.006,1.1875
623,32.2134,542,0.0596418,0,0.125,0.1454,1.20281,0.236325,-0.0118667,4.36632,8.88889e-05,0.0183326,0.348267,13940.7,0.528095,0.353352,-0.2,0.05,20.4918,7.65542e+06,0.263438,0.0194921,0.422638,0.00747143,-0.337993,0.542,0.137567,nan,nan,nan,nan,-0.0238554,-0.0813172,-0.0148339,nan,-0.215936,-0.00166667,-0.0271357,-0.406653,nan,0.0117865,0.0626667,-0.00533333,1.25833
624,30.1288,560,0.0618975,0,0.0416667,0.144019,1.18502,0.213459,-0.0111482,4.37066,8.88889e-05,0.012711,0.348292,13621.6,0.557747,0.344347,-0.2,0.05,21.3953,7.66771e+06,0.337299,0.0304642,0.457746,0.00441308,-0.357971,0.56,0.0914,nan,nan,nan,nan,-0.013924,-0.0555259,-0.0102669,nan,-0.225551,-0.001,-0.0301362,-0.388017,nan,0.0125088,0.024,-0.004,1.075
625,29.2185,590,0.0609587,0,0.208333,0.143534,1.18665,0.254981,-0.011412,4.36915,8.88889e-05,0.0125232,0.348226,14787.4,0.496619,0.334358,-0.2,0.05,22.2277,7.68e+06,0.262466,0.0240338,0.475351,0.00681781,-0.359225,0.59,0.13336,nan,nan,nan,nan,-0.0221257,-0.0728821,-0.0142927,nan,-0.23607,-0.0006,-0.0321554,-0.423303,nan,0.00994654,0.058,-0.0084,1.07
626,38.6501,609,0.0606087,0,0.125,0.14829,1.20869,0.239225,-0.00905181,4.36704,8.88889e-05,0.0131478,0.348178,14424.8,0.521306,0.330561,-0.2,0.05,23.0811,7.69229e+06,0.292027,0.0244787,0.494074,0.00824547,-0.375932,0.609,0.155667,nan,nan,nan,nan,-0.0257084,-0.0913457,-0.0171582,nan,-0.243312,-0.000333333,-0.0332457,-0.428499,nan,0.0118819,0.074,-0.00466667,1.48333
627,35.8224,642.5,0.0637466,0,0.0833333,0.145605,1.17623,0.252485,-0.00895425,4.36612,8.88889e-05,0.017556,0.348174,13524.9,0.529157,0.379391,-0.2,0.05,23.9911,7.70458e+06,0.332922,0.0301942,0.525794,0.00879041,-0.399429,0.6425,0.1523,nan,nan,nan,nan,-0.0245596,-0.0911878,-0.019586,nan,-0.260066,0,-0.0300136,-0.461992,nan,0.00970472,0.092,-0.01,1.29375
628,38.4192,661,0.0639561,0,0.0416667,0.143631,1.19252,0.281684,-0.00980129,4.36555,8.88889e-05,0.00822045,0.348133,14138.6,0.549991,0.319122,-0.2,0.05,24.8618,7.71686e+06,0.237418,0.0274476,0.533838,0.00864169,-0.398148,0.661,0.1719,nan,nan,nan,nan,-0.0270321,-0.0862224,-0.0181951,nan,-0.261926,0,-0.0308573,-0.453616,nan,0.00721226,0.072,-0.01,1.4875
629,35.1487,601.5,0.064758,0,0.166667,0.143229,1.20475,0.244411,-0.0113571,4.36415,8.88889e-05,0.0145367,0.348119,12642.2,0.514487,0.457497,-0.2,0.05,25.835,7.72915e+06,0.307668,0.0209702,0.487104,0.00733805,-0.373879,0.6015,0.147325,nan,nan,nan,nan,-0.0255011,-0.0924049,-0.0181086,nan,-0.241283,0,-0.0349317,-0.454191,nan,0.0093275,0.075,-0.0085,1.35
630,34.9024,701.5,0.0611797,0,0.0833333,0.143119,1.22377,0.210556,-0.0104119,4.36419,8.88889e-05,0.0192248,0.348121,13243.5,0.569075,0.358777,-0.2,0.05,26.7645,7.74144e+06,0.431422,0.015826,0.548698,0.00725578,-0.440154,0.7015,0.1444,nan,nan,nan,nan,-0.0283797,-0.0984562,-0.0172836,nan,-0.281924,0,-0.0351983,-0.524155,nan,0.0165691,0.066,-0.011,1.25
631,50.6479,732.5,0.0605923,0,0.0833333,0.145118,1.19316,0.222288,-0.0100186,4.36198,8.88889e-05,0.0170423,0.347963,14098.3,0.534098,0.337498,-0.2,0.05,27.6374,7.75373e+06,0.357144,0.0357632,0.608408,0.0101839,-0.454385,0.7325,0.1876,nan,nan,nan,nan,-0.0292257,-0.100939,-0.0202216,nan,-0.291704,-0.0005,-0.0384457,-0.531279,nan,0.0124971,0.062,-0.007,2
