iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
23,2.54692,180.909,0.0154503,0,1.83333,0.345837,2.31767,0.0303749,-0.00929831,2.55944,3.90184e-05,0.00909345,0.299568,7572.17,0.85385,0.768935,-0.1,0.02,42.0143,282624,0.0218395,0.00665372,0.0967526,0.0232848,-0.0423528,nan,0.339511,nan,nan,nan,nan,-0.00901938,-0.0371876,-0.00972584,0.00695455,-0.0735431,-0.000204545,-0.0019445,-0.193673,nan
24,2.404,168.686,0.0160868,0,2.125,0.348494,2.31327,0.0304369,-0.0102796,2.55696,3.90184e-05,0.0139395,0.299513,7404.98,0.864416,0.795008,-0.1,0.02,43.6754,294912,0.0166499,0.00531471,0.0907334,0.0222725,-0.0390525,nan,0.322559,nan,nan,nan,nan,-0.00864948,-0.0365876,-0.00933995,0.00654902,-0.0685113,-0.000607843,-0.00182149,-0.179308,nan
25,2.72202,173.532,0.0158622,0,1.95833,0.355597,2.31497,0.030539,-0.00982738,2.55458,3.90184e-05,0.0129484,0.299452,7909.49,0.835732,0.717845,-0.1,0.02,45.2309,307200,0.0172029,0.00521819,0.0945288,0.0225815,-0.0401804,nan,0.342926,nan,nan,nan,nan,-0.00929174,-0.0377473,-0.0096654,0.00708511,-0.0702868,-0.000319149,-0.00194438,-0.184006,nan
26,2.84761,195.75,0.0165993,0,1.66667,0.34589,2.28952,0.0301344,-0.0101077,2.5521,3.90184e-05,0.018023,0.299396,7499.8,0.916775,0.721668,-0.1,0.02,46.8712,319488,0.0193412,0.00616892,0.104202,0.0254711,-0.0454148,nan,0.379837,nan,nan,nan,nan,-0.0105314,-0.043616,-0.0110571,0.0083375,-0.0795716,-5e-05,-0.00213086,-0.208606,nan
27,2.82267,195.857,0.0163706,0,1.75,0.34667,2.33774,0.0305861,-0.00998269,2.5496,3.90184e-05,0.0119505,0.299332,7412.66,0.878317,0.779388,-0.1,0.02,48.5309,331776,0.0190076,0.00703668,0.106506,0.024856,-0.0456094,nan,0.370179,nan,nan,nan,nan,-0.0099596,-0.0414687,-0.0109854,0.00757143,-0.079228,-0.000238095,-0.0021509,-0.204382,nan
28,2.71402,205.484,0.0169388,0,1.29167,0.346731,2.33204,0.0311592,-0.0102953,2.5465,2.60123e-05,0.0202094,0.299233,7639.34,0.988689,0.619828,-0.1,0.02,50.1414,344064,0.0219005,0.0073803,0.115445,0.025064,-0.0480962,nan,0.374129,nan,nan,nan,nan,-0.0102482,-0.0421258,-0.0109969,0.00832258,-0.0834608,-9.67742e-05,-0.00214565,-0.21937,nan
29,3.00168,204.282,0.0170282,0,1.625,0.351454,2.30036,0.032162,-0.00736864,2.54329,3.90184e-05,0.00293202,0.299188,5299,1.35465,0.964279,-0.1,0.02,52.4622,356352,0.0186619,0.00664053,0.110279,0.0256026,-0.0478563,nan,0.395462,nan,nan,nan,nan,-0.0111921,-0.0469403,-0.0117201,0.00861538,-0.0831,-2.5641e-05,-0.00264562,-0.211696,nan
30,3.41299,212.114,0.0178765,0,1.45833,0.348292,2.29724,0.0335839,-0.00892176,2.54118,3.90184e-05,0.012978,0.299125,6447.92,1.08423,0.821502,-0.1,0.02,54.3697,368640,0.0215965,0.00684374,0.120741,0.0267843,-0.0496112,nan,0.415029,nan,nan,nan,nan,-0.0111504,-0.0463706,-0.0117268,0.00922857,-0.0860245,-5.71429e-05,-0.00248104,-0.222152,nan
31,3.5192,218.865,0.0175996,0,1.54167,0.348632,2.29603,0.0336835,-0.00868559,2.53826,3.90184e-05,0.0132712,0.299038,7125.42,0.945399,0.779131,-0.1,0.02,56.096,380928,0.0233704,0.00688687,0.127839,0.0279069,-0.0508619,nan,0.422797,nan,nan,nan,nan,-0.0112651,-0.0483286,-0.0126146,0.00921622,-0.08869,-0.000324324,-0.00268459,-0.227287,nan
32,4.2784,284.095,0.0176094,0,0.875,0.345798,2.32692,0.0372695,-0.0102698,2.53479,3.90184e-05,0.0146874,0.298963,7422.87,0.812263,0.843162,-0.1,0.02,57.7536,393216,0.0307575,0.0105964,0.164675,0.0349895,-0.0656314,nan,0.519071,nan,nan,nan,nan,-0.0133426,-0.0584723,-0.0159311,0.0121429,-0.114888,-0.000190476,-0.00266677,-0.28719,nan
33,3.60897,219.52,0.0169506,0,1.04167,0.343889,2.27552,0.0305368,-0.0111969,2.53218,3.90184e-05,0.0147576,0.298912,7108.17,0.897773,0.830942,-0.1,0.02,59.4843,405504,0.02562,0.00740285,0.122748,0.0273886,-0.0511079,nan,0.43404,nan,nan,nan,nan,-0.0117549,-0.053324,-0.0120379,0.00952,-0.0890309,-0.00052,-0.0024435,-0.226052,nan
34,4.55042,279.457,0.017455,0,1.45833,0.348809,2.26522,0.0377989,-0.0108729,2.53035,3.90184e-05,0.015811,0.298877,5818.23,1.01285,1.09914,-0.1,0.02,61.5985,417792,0.0331482,0.00941298,0.162784,0.0356805,-0.0651321,nan,0.525086,nan,nan,nan,nan,-0.0136808,-0.0607347,-0.0164854,0.0129714,-0.113442,-0.000114286,-0.0032089,-0.278764,nan
35,4.99174,291.679,0.0177595,0,1.16667,0.345728,2.27961,0.0337519,-0.00937248,2.52814,3.90184e-05,0.0121409,0.298787,6322.59,0.951884,0.991625,-0.1,0.02,63.5442,430080,0.0285528,0.0100366,0.170024,0.0368099,-0.0676275,nan,0.570964,nan,nan,nan,nan,-0.0143478,-0.0656114,-0.016117,0.0129286,-0.118314,-0.00025,-0.00330381,-0.294158,nan
36,4.34742,263.152,0.0175244,0,1.375,0.349491,2.26666,0.0399908,-0.0101714,2.52459,3.90184e-05,0.0144754,0.298737,6220.99,0.873113,1.10213,-0.1,0.02,65.5213,442368,0.0248663,0.0104328,0.15154,0.0318892,-0.0618142,nan,0.508273,nan,nan,nan,nan,-0.0133867,-0.0603984,-0.0150775,0.0116818,-0.106819,-9.09091e-05,-0.00287583,-0.260849,nan
37,5.71074,341,0.0170745,0,1.16667,0.34996,2.27413,0.0329992,-0.00931534,2.52298,3.90184e-05,0.00724571,0.298682,6834.94,0.909488,0.888334,-0.1,0.02,67.3224,454656,0.0327854,0.0117444,0.200272,0.04197,-0.0794616,nan,0.655875,nan,nan,nan,nan,-0.0165155,-0.0748695,-0.0190863,0.015,-0.138179,-0.00110714,-0.0038673,-0.339023,nan
38,4.81141,273.857,0.0170107,0,0.875,0.344376,2.2485,0.0327793,-0.00986635,2.52023,3.90184e-05,0.017113,0.298618,7144.58,0.699898,1.02001,-0.1,0.02,69.0441,466944,0.0285218,0.00928879,0.161042,0.034054,-0.0645981,nan,0.539071,nan,nan,nan,nan,-0.0140022,-0.0637935,-0.0152836,0.0121429,-0.111411,-9.52381e-05,-0.00313651,-0.271231,nan
